exec,step,bestf,worstf,avgf
12,0,300172.0,260558.1,270316.22578125
12,1,300172.0,260833.4,270385.86015625
12,2,300172.0,260922.0,270416.13828124997
12,3,300172.0,260979.5,270580.23203124997
12,4,300172.0,260992.1,270613.278125
12,5,300172.0,261302.9,270896.12890625
12,6,300172.0,261429.1,270940.36953125
12,7,300172.0,261663.9,270962.94296874997
12,8,300172.0,241373.0,270804.4203125
12,9,300172.0,262165.8,271251.8578125
12,10,300172.0,262183.5,271359.7109375
12,11,300172.0,262272.3,271397.8640625
12,12,300172.0,262340.0,271453.24140625
12,13,300172.0,262365.5,271510.99453125
12,14,300172.0,262600.8,271534.225
12,15,300172.0,262705.1,271541.07890624995
12,16,300172.0,262878.7,271773.88281249994
12,17,300172.0,262964.9,271800.85546874994
12,18,300172.0,263090.8,271839.16093749995
12,19,300172.0,263141.2,271877.0421875
12,20,300172.0,263373.2,271909.45781249995
12,21,300172.0,263390.0,272179.94062499993
12,22,300172.0,263478.1,272300.69062499993
12,23,300172.0,263483.1,272334.4437499999
12,24,300172.0,263591.8,272380.0960937499
12,25,300172.0,263610.2,272609.03515624994
12,26,300172.0,263770.9,272650.49531249993
12,27,300172.0,264057.7,272870.26953124994
12,28,300172.0,264199.3,272902.97890625
12,29,300172.0,263538.3,272897.81484375
12,30,300172.0,264210.5,272932.38984374993
12,31,300172.0,264214.0,272966.76562499994
12,32,300172.0,264318.5,272980.6078125
12,33,300172.0,264521.8,273244.8929687499
12,34,300172.0,264572.1,273265.08281249995
12,35,300172.0,264659.8,273284.37187499995
12,36,300172.0,264709.0,273549.8734374999
12,37,300172.0,264875.4,273580.17109374993
12,38,300172.0,265190.3,273599.30078124994
12,39,300172.0,265209.4,273615.38593749993
12,40,300172.0,265215.8,273645.8593749999
12,41,300172.0,265254.5,273826.1968749999
12,42,300172.0,265308.6,273939.5835937499
12,43,300172.0,265317.8,274192.0789062499
12,44,300172.0,265004.0,274189.62734374986
12,45,300172.0,265339.0,274416.95546874986
12,46,300172.0,265409.1,274490.89296874986
12,47,300172.0,265472.9,274528.10781249986
12,48,300172.0,265569.0,274646.9757812499
12,49,300172.0,265688.6,274664.6296874999
12,50,300172.0,265858.6,274701.6929687499
12,51,300172.0,265882.8,274729.6999999999
12,52,300172.0,265938.0,274765.24531249993
12,53,300172.0,265408.7,274761.1101562499
12,54,300172.0,265951.9,274934.04999999993
12,55,300172.0,265953.4,274963.49296874995
12,56,300172.0,265985.8,274987.26874999993
12,57,300172.0,266042.9,274995.91171874997
12,58,300172.0,266065.0,275029.221875
12,59,300172.0,266143.0,275069.7375
12,60,300172.0,262564.4,275041.7796875
12,61,300172.0,266331.2,275079.81484375
12,62,300172.0,266466.8,275095.8234375
12,63,300172.0,266507.0,275201.56718749995
12,64,300172.0,266043.9,275197.94921874994
12,65,300172.0,266580.4,275227.09296875
12,66,300172.0,242179.0,275036.45703125
12,67,300172.0,265336.9,275217.378125
12,68,300172.0,266738.7,275234.26796875
12,69,300172.0,266789.7,275236.21796875
12,70,300172.0,264499.8,275218.328125
12,71,300172.0,265559.0,275226.603125
12,72,300172.0,266790.4,275441.43125
12,73,300172.0,266809.2,275688.18593750003
12,74,300172.0,266918.4,275715.409375
12,75,300172.0,264917.8,275699.7796875
12,76,300172.0,266965.7,275721.12734375
12,77,300172.0,266988.3,275825.35625
12,78,300172.0,267041.1,275935.12734375
12,79,300172.0,267067.1,275947.96249999997
12,80,300172.0,267092.1,275972.93046875
12,81,300172.0,267106.1,276218.609375
12,82,300172.0,267165.9,276224.44296874997
12,83,300172.0,267205.8,276236.903125
12,84,300172.0,264737.5,276217.61953125
12,85,300172.0,267218.3,276255.8734375
12,86,300172.0,267227.3,276270.1875
12,87,300172.0,267249.2,276292.675
12,88,300172.0,267251.4,276538.46249999997
12,89,300172.0,267256.7,276759.7796875
12,90,300172.0,267290.4,276919.61015625
12,91,300172.0,243430.0,276733.20078124997
12,92,300172.0,267324.0,277081.31796874997
12,93,300172.0,266519.8,277075.03515625
12,94,300172.0,266441.1,277074.4203125
12,95,300172.0,267333.2,277239.01328124997
12,96,300172.0,265092.6,277221.50859375
12,97,300172.0,267432.9,277421.48828124994
12,98,300172.0,267455.4,277436.87578124995
12,99,300172.0,267498.8,277459.30859375
12,100,300172.0,267629.0,277689.73984374997
12,101,300172.0,267636.4,277771.07578124997
12,102,300172.0,267637.9,277791.45
12,103,300172.0,258651.0,277721.23984374997
12,104,300172.0,265617.9,277775.66875
12,105,300172.0,266542.2,277782.88984375
12,106,300172.0,267650.3,277801.78046875
12,107,300172.0,267798.5,277811.38828124997
12,108,300172.0,267826.7,277817.94375
12,109,300172.0,252437.0,277697.71171875
12,110,300172.0,267828.7,277996.78203125
12,111,300172.0,267852.8,278233.0265625
12,112,300172.0,267210.7,278228.01015625
12,113,300172.0,267868.0,278421.7703125
12,114,300172.0,263752.5,278389.61796875
12,115,300172.0,267939.6,278649.8796875
12,116,300172.0,267963.9,278654.86328125
12,117,300172.0,264187.1,278625.35703124997
12,118,300172.0,268008.3,278878.41875
12,119,300172.0,256900.0,278791.63515625
12,120,300172.0,268033.4,278910.65859375
12,121,300172.0,265342.4,278889.63515625
12,122,300172.0,268109.4,278917.24765624997
12,123,300172.0,266967.5,278908.3265625
12,124,300172.0,247992.0,278760.08046875
12,125,300172.0,268154.8,278920.08203125
12,126,300172.0,268176.4,278923.384375
12,127,300172.0,268244.5,278937.57421875
12,128,300172.0,268380.3,279032.8125
12,129,300172.0,268394.5,279177.38828125
12,130,300172.0,256329.0,279083.1265625
12,131,300172.0,246781.0,279008.5328125
12,132,300172.0,266544.7,279162.93671875
12,133,300172.0,268472.2,279187.8296875
12,134,300172.0,266990.1,279176.25078125
12,135,300172.0,253110.0,279067.8125
12,136,300172.0,265711.7,279166.26328125
12,137,300172.0,268519.1,279190.0765625
12,138,300172.0,258056.0,279108.33359374997
12,139,300172.0,268525.3,279241.76328124997
12,140,300172.0,268529.2,279242.98515625
12,141,300172.0,267791.3,279237.2203125
12,142,300172.0,268569.7,279246.74453125
12,143,300172.0,267273.1,279236.61484375
12,144,300172.0,263574.4,279207.71875
12,145,300172.0,266371.5,279229.57109375
12,146,300172.0,268577.5,279350.371875
12,147,300172.0,263359.3,279309.6046875
12,148,300172.0,268577.5,279510.60234375
12,149,300172.0,261461.7,279455.01015625
12,150,300172.0,257264.0,279422.215625
12,151,300172.0,268092.6,279506.8140625
12,152,300172.0,268587.1,279613.0046875
12,153,300172.0,268610.6,279626.94531250006
12,154,300172.0,268624.6,279871.8859375
12,155,300172.0,268637.6,279878.78671875
12,156,300172.0,268681.7,279884.35781250003
12,157,300172.0,267456.0,279874.78203125
12,158,300172.0,261598.0,279829.01640625
12,159,300172.0,267920.9,279878.4140625
