exec,bestf,worstf,avgf,endstep,duration
1,300500.0,300047.0,300307.7265625,1685,57
2,300493.0,269636.1,300251.93046875,50128,266
3,300500.0,300491.0,300491.0703125,7682,37
4,300500.0,298809.0,299649.71875,1257,6
5,300497.0,269454.7,300254.48203125,50128,186
6,300497.0,300140.0,300494.2109375,50128,174
7,300499.0,269273.9,300255.05390625,50128,164
8,300499.0,296052.0,300464.2578125,50128,153
9,300499.0,269881.3,300259.79921875,50128,148
10,300498.0,300498.0,300498.0,50128,147
11,300492.0,300492.0,300492.0,50128,154
12,300497.0,297233.0,300471.5,50128,152
13,300499.0,300499.0,300499.0,50128,165
14,300500.0,300496.0,300496.03125,13389,41
15,300500.0,300499.0,300499.0078125,22727,72
16,300497.0,300497.0,300497.0,50128,163
17,300500.0,300499.0,300499.0078125,27319,85
18,300499.0,300499.0,300499.0,50128,155
19,300500.0,300495.0,300495.0390625,24081,75
20,300499.0,270000.6,300260.73125,50128,162
21,300500.0,300491.0,300491.0703125,2305,7
22,300498.0,270335.6,300262.35625,50128,142
23,300496.0,300496.0,300496.0,50128,143
24,300498.0,292203.0,300433.1953125,50128,145
25,300494.0,293825.0,300441.8984375,50128,143
26,300494.0,300494.0,300494.0,50128,147
27,300498.0,270073.7,300260.31015625,50128,155
28,300500.0,300499.0,300499.0078125,27744,86
29,300500.0,300491.0,300491.0703125,8157,27
30,300499.0,294990.0,300455.9609375,50128,152
