step,bestf
0,298717.0
1,298717.0
2,298717.0
3,298717.0
4,298717.0
5,298717.0
6,298717.0
7,298717.0
8,298717.0
9,298717.0
10,298717.0
11,298717.0
12,298717.0
13,298717.0
14,298717.0
15,298717.0
16,298717.0
17,298717.0
18,298717.0
19,298717.0
20,298717.0
21,298717.0
22,298717.0
23,298717.0
24,298717.0
25,298717.0
26,298717.0
27,298717.0
28,298717.0
29,298717.0
30,298717.0
31,298717.0
32,298717.0
33,298717.0
34,298717.0
35,298717.0
36,298717.0
37,298717.0
38,298717.0
39,298717.0
40,298717.0
41,298717.0
42,298717.0
43,298717.0
44,298717.0
45,298717.0
46,298717.0
47,298717.0
48,298717.0
49,298717.0
50,298717.0
51,298717.0
52,298717.0
53,298717.0
54,298717.0
55,298717.0
56,298717.0
57,298717.0
58,298717.0
59,298717.0
60,298717.0
61,298717.0
62,298717.0
63,298717.0
64,300430.0
65,300430.0
66,300430.0
67,300430.0
68,300430.0
69,300430.0
70,300430.0
71,300430.0
72,300430.0
73,300430.0
74,300430.0
75,300430.0
76,300430.0
77,300430.0
78,300430.0
79,300430.0
80,300430.0
81,300430.0
82,300430.0
83,300430.0
84,300430.0
85,300430.0
86,300430.0
87,300430.0
88,300430.0
89,300430.0
90,300430.0
91,300430.0
92,300430.0
93,300430.0
94,300430.0
95,300430.0
96,300430.0
97,300430.0
98,300430.0
99,300430.0
100,300430.0
101,300430.0
102,300430.0
103,300430.0
104,300430.0
105,300430.0
106,300430.0
107,300430.0
108,300430.0
109,300430.0
110,300430.0
111,300430.0
112,300430.0
113,300430.0
114,300430.0
115,300430.0
116,300430.0
117,300430.0
118,300430.0
119,300430.0
120,300430.0
121,300430.0
122,300430.0
123,300430.0
124,300430.0
125,300430.0
126,300430.0
127,300430.0
128,300430.0
129,300430.0
130,300430.0
131,300430.0
132,300430.0
133,300430.0
134,300430.0
135,300430.0
136,300430.0
137,300430.0
138,300430.0
139,300430.0
140,300430.0
141,300430.0
142,300430.0
143,300430.0
144,300430.0
145,300430.0
146,300430.0
147,300430.0
148,300430.0
149,300430.0
150,300430.0
151,300430.0
152,300430.0
153,300430.0
154,300430.0
155,300430.0
156,300430.0
157,300430.0
158,300430.0
159,300430.0
160,300430.0
161,300430.0
162,300430.0
163,300430.0
164,300430.0
165,300430.0
166,300430.0
167,300430.0
168,300430.0
169,300430.0
170,300430.0
171,300430.0
172,300430.0
173,300430.0
174,300430.0
175,300430.0
176,300430.0
177,300430.0
178,300430.0
179,300430.0
180,300430.0
181,300430.0
182,300430.0
183,300430.0
184,300430.0
185,300430.0
186,300430.0
187,300430.0
188,300430.0
189,300430.0
190,300430.0
191,300430.0
192,300430.0
193,300430.0
194,300430.0
195,300430.0
196,300430.0
197,300430.0
198,300430.0
199,300430.0
200,300430.0
201,300430.0
202,300430.0
203,300430.0
204,300430.0
205,300430.0
206,300430.0
207,300430.0
208,300430.0
209,300430.0
210,300430.0
211,300430.0
212,300430.0
213,300430.0
214,300430.0
215,300430.0
216,300430.0
217,300430.0
218,300430.0
219,300430.0
