exec,step,bestf,worstf,avgf
2,0,299703.0,252610.0,269859.8417968751
2,1,299703.0,253710.0,269944.7089843751
2,2,299767.0,255777.0,270124.6191406251
2,3,299767.0,256101.3,270179.7992187501
2,4,299767.0,257106.0,270188.7972656251
2,5,299767.0,258211.0,270232.5089843751
2,6,299767.0,258404.8,270272.5824218751
2,7,299767.0,260360.8,270304.1378906251
2,8,299767.0,260393.4,270333.4328125001
2,9,299767.0,260575.8,270347.6812500001
2,10,299767.0,260728.0,270467.6507812501
2,11,299767.0,260935.0,270485.9824218751
2,12,299767.0,261063.1,270518.8195312501
2,13,299767.0,261165.9,270584.81132812507
2,14,299767.0,261187.0,270610.2347656251
2,15,299767.0,261463.7,270640.5105468751
2,16,299767.0,261690.8,270666.4375000001
2,17,300076.0,261697.7,270816.3796875001
2,18,300076.0,260584.2,270812.0300781251
2,19,300076.0,261759.7,270844.1308593751
2,20,300076.0,261970.9,270881.5343750001
2,21,300076.0,261976.9,270897.8105468751
2,22,300076.0,261996.3,271008.92031250015
2,23,300076.0,262026.1,271038.7648437501
2,24,300076.0,262441.3,271068.83242187515
2,25,300076.0,260577.2,271061.5507812502
2,26,300076.0,262469.6,271199.2570312501
2,27,300076.0,262662.5,271220.3738281251
2,28,300076.0,262717.5,271323.1843750001
2,29,300076.0,254531.0,271291.2058593751
2,30,300076.0,262783.8,271338.5500000001
2,31,300076.0,262799.0,271427.3046875002
2,32,300076.0,262882.8,271431.07265625015
2,33,300076.0,262911.4,271452.4679687501
2,34,300076.0,263073.9,271518.33750000014
2,35,300076.0,263121.9,271544.4042968752
2,36,300076.0,263226.4,271554.22421875014
2,37,300076.0,263291.3,271565.00156250014
2,38,300076.0,263480.6,271580.2863281251
2,39,300142.0,263662.8,271723.4949218751
2,40,300142.0,263672.1,271743.0507812502
2,41,300142.0,263677.6,271768.12656250014
2,42,300142.0,263763.6,271904.18671875016
2,43,300142.0,263897.2,271912.10859375016
2,44,300142.0,264041.0,271924.9656250002
2,45,300142.0,264072.0,271949.3824218752
2,46,300142.0,264138.7,271973.1562500002
2,47,300142.0,264189.6,272054.88789062516
2,48,300142.0,264240.7,272062.52851562516
2,49,300142.0,264265.1,272175.77578125015
2,50,300142.0,264344.6,272301.0527343752
2,51,300142.0,264345.3,272308.06875000015
2,52,300142.0,264443.4,272379.88007812516
2,53,300142.0,264456.5,272392.0023437502
2,54,300142.0,264658.5,272487.8050781252
2,55,300142.0,264667.9,272494.1246093752
2,56,300142.0,264679.9,272510.02070312516
2,57,300142.0,264748.0,272515.63789062516
2,58,300142.0,264767.9,272536.30898437515
2,59,300142.0,264823.9,272552.9410156252
2,60,300142.0,264992.6,272563.9414062502
2,61,300142.0,264993.7,272577.2695312502
2,62,300142.0,264999.9,272597.24140625016
2,63,300142.0,265004.5,272615.04726562515
2,64,300142.0,262673.0,272605.93984375015
2,65,300142.0,265045.6,272689.23281250015
2,66,300142.0,265061.4,272704.4707031252
2,67,300142.0,265123.2,272830.34414062515
2,68,300142.0,265149.1,272839.82734375016
2,69,300142.0,265158.5,272846.15390625014
2,70,300142.0,242396.0,272757.23789062514
2,71,300142.0,263964.9,272841.49140625016
2,72,300142.0,250675.0,272789.57773437514
2,73,300142.0,265161.8,272848.5878906252
2,74,300142.0,265205.5,272859.1464843752
2,75,300142.0,265279.6,272877.8007812502
2,76,300142.0,265328.3,272885.4355468752
2,77,300142.0,265395.2,272892.46210937516
2,78,300142.0,263830.0,272886.34804687515
2,79,300142.0,265407.5,272910.42929687514
2,80,300142.0,265420.9,273044.5679687502
2,81,300142.0,262770.4,273034.2144531252
2,82,300142.0,265021.0,273043.0058593752
2,83,300142.0,265494.3,273061.3316406252
2,84,300142.0,265518.1,273069.1484375002
2,85,300142.0,265531.3,273168.5386718752
2,86,300142.0,264625.4,273165.0000000002
2,87,300142.0,265543.5,273209.63515625015
2,88,300142.0,265567.5,273217.8164062502
2,89,300142.0,265606.3,273317.7363281252
2,90,300142.0,265635.8,273326.2691406252
2,91,300142.0,265646.5,273339.63359375024
2,92,300142.0,265691.6,273347.8808593752
2,93,300142.0,265694.1,273356.7417968752
2,94,300142.0,265714.7,273366.19218750024
2,95,300142.0,265730.7,273424.0957031252
2,96,300142.0,265770.8,273490.4796875002
2,97,300142.0,263983.8,273483.4992187502
2,98,300142.0,265781.6,273504.4277343752
2,99,300142.0,265791.6,273510.62148437515
2,100,300142.0,265861.3,273515.8457031252
2,101,300142.0,265868.1,273523.0507812502
2,102,300142.0,265900.8,273536.6101562501
2,103,300142.0,265910.5,273536.7203125002
2,104,300142.0,265929.0,273640.7847656252
2,105,300142.0,265985.4,273643.8824218752
2,106,300142.0,265991.7,273656.4355468752
2,107,300142.0,265996.7,273657.91835937515
2,108,300142.0,266026.8,273672.34804687515
2,109,300142.0,244346.0,273587.6574218752
2,110,300142.0,266062.0,273678.6593750002
2,111,300142.0,266110.0,273695.07890625024
2,112,300142.0,266117.9,273701.33671875024
2,113,300142.0,266137.6,273801.7863281252
2,114,300142.0,266140.7,273804.5351562502
2,115,300142.0,266145.6,273903.6457031252
2,116,300142.0,242427.0,273810.99492187524
2,117,300142.0,266276.3,273905.6968750002
2,118,300142.0,266308.8,273916.61210937524
2,119,300142.0,266354.4,273925.63320312527
2,120,300142.0,266371.0,273934.07304687524
2,121,300142.0,266371.3,273946.3195312502
2,122,300142.0,266434.2,273955.9933593752
2,123,300142.0,266483.0,274081.74257812527
2,124,300142.0,263005.6,274068.15898437524
2,125,300142.0,266485.6,274150.27773437527
2,126,300142.0,266519.0,274160.46914062527
2,127,300142.0,266549.7,274162.50351562526
2,128,300142.0,265548.2,274158.59140625026
2,129,300142.0,266556.6,274165.0472656252
2,130,300142.0,266650.3,274271.85351562523
2,131,300142.0,266651.1,274398.4929687502
2,132,300142.0,266665.3,274429.8675781252
2,133,300142.0,266669.4,274438.4851562502
2,134,300142.0,266670.7,274450.9378906252
2,135,300142.0,266713.0,274460.2117187502
2,136,300142.0,266722.0,274515.7976562502
2,137,300142.0,266752.8,274518.0515625002
2,138,300142.0,266245.0,274516.0679687502
2,139,300142.0,266753.0,274637.8687500002
2,140,300142.0,266768.7,274641.2136718752
2,141,300142.0,266771.6,274646.3144531252
2,142,300142.0,266403.0,274644.8746093752
2,143,300142.0,266798.7,274761.7222656252
2,144,300142.0,266823.2,274762.1570312502
2,145,300142.0,261496.0,274741.3476562502
2,146,300142.0,266841.3,274863.8789062502
2,147,300142.0,266848.3,274868.95039062516
2,148,300142.0,266870.2,274879.3515625002
2,149,300142.0,266893.7,274886.77656250016
2,150,300142.0,266902.3,274896.63398437516
2,151,300142.0,266909.7,274974.2343750002
2,152,300142.0,266910.0,274975.99531250016
2,153,300142.0,266931.1,274983.2656250002
2,154,300142.0,266931.1,274988.1035156252
2,155,300142.0,266526.8,274986.5242187502
2,156,300142.0,266978.2,275000.62226562516
2,157,300142.0,266982.0,275001.6367187502
2,158,300142.0,267039.8,275006.5078125002
2,159,300142.0,263152.0,274991.3210937501
2,160,300142.0,266094.4,275002.81484375015
2,161,300142.0,267040.1,275010.5410156252
2,162,300142.0,267040.5,275053.57187500014
2,163,300142.0,267044.3,275164.59726562514
2,164,300142.0,267069.8,275167.8691406252
2,165,300142.0,267119.6,275258.5769531252
2,166,300142.0,267127.1,275317.9730468752
2,167,300142.0,267129.0,275390.5195312502
2,168,300142.0,265905.8,275385.74140625016
2,169,300142.0,266412.4,275387.7203125002
2,170,300142.0,267135.9,275403.3949218752
2,171,300142.0,267188.5,275408.16328125016
2,172,300142.0,267128.4,275407.9285156252
2,173,300142.0,267188.6,275414.0765625002
2,174,300142.0,267200.9,275418.8207031252
2,175,300142.0,267204.2,275477.4695312502
2,176,300142.0,267234.1,275601.1054687502
2,177,300142.0,266637.7,275598.7757812502
2,178,300142.0,267237.9,275606.7406250002
2,179,300142.0,264132.2,275594.6089843752
2,180,300142.0,267265.0,275608.59296875016
2,181,300142.0,267283.0,275683.88984375016
2,182,300142.0,267298.6,275685.61250000016
2,183,300142.0,267299.0,275694.6289062501
2,184,300142.0,267360.5,275696.7109375001
2,185,300142.0,267367.2,275725.1269531251
2,186,300142.0,267368.9,275730.79218750016
2,187,300142.0,267376.6,275857.62851562514
2,188,300142.0,267415.9,275868.0996093752
2,189,300142.0,264460.5,275856.5550781252
2,190,300142.0,264783.0,275857.8148437502
2,191,300142.0,267495.4,275874.30585937516
2,192,300142.0,267500.0,275885.72656250023
2,193,300142.0,267504.7,275897.0277343752
2,194,300142.0,266467.3,275892.9753906252
2,195,300142.0,267505.2,276005.5250000002
2,196,300142.0,267546.7,276012.0457031252
2,197,300142.0,267550.5,276015.4183593752
2,198,300142.0,267550.9,276024.6625000002
2,199,300142.0,267553.3,276027.2230468752
2,200,300142.0,267425.9,276026.7253906252
2,201,300142.0,267607.3,276033.90351562516
2,202,300142.0,267609.3,276134.14453125023
2,203,300142.0,265733.2,276126.81601562526
2,204,300142.0,267619.6,276137.97070312523
2,205,300142.0,267630.3,276247.9644531252
2,206,300142.0,267637.9,276252.7703125002
2,207,300142.0,267640.0,276252.8726562502
2,208,300142.0,267642.5,276258.36445312516
2,209,300142.0,266495.9,276253.8855468752
2,210,300142.0,267664.1,276268.3894531252
2,211,300142.0,267674.3,276286.9320312502
2,212,300142.0,267705.8,276288.2582031252
2,213,300142.0,267712.0,276298.63593750016
2,214,300142.0,267712.1,276329.99531250016
2,215,300142.0,267724.0,276395.2605468752
2,216,300142.0,267757.8,276516.2292968752
2,217,300142.0,266809.0,276512.5230468752
2,218,300142.0,267790.7,276517.5808593752
2,219,300142.0,267803.7,276525.5238281252
2,220,300142.0,267832.0,276582.9390625002
2,221,300142.0,267860.3,276598.6617187502
2,222,300142.0,267864.8,276622.6605468752
2,223,300142.0,264167.4,276608.2175781252
2,224,300142.0,266655.6,276617.9371093752
2,225,300142.0,267869.4,276627.0859375002
2,226,300142.0,267875.5,276634.3851562502
2,227,300142.0,264645.2,276621.7667968752
2,228,300142.0,267881.9,276644.4156250002
2,229,300142.0,267885.6,276647.8226562502
2,230,300142.0,267083.0,276644.6875000002
2,231,300142.0,267892.4,276733.0117187502
2,232,300142.0,267943.4,276734.2742187502
2,233,300142.0,265940.8,276726.4515625002
2,234,300142.0,265933.3,276726.4222656252
2,235,300142.0,266699.5,276729.41523437516
2,236,300142.0,267960.0,276776.29609375016
2,237,300142.0,267985.2,276780.29414062516
2,238,300142.0,268013.8,276840.2347656252
2,239,300142.0,266702.0,276835.11054687516
2,240,300142.0,267719.9,276839.0867187502
2,241,300142.0,268040.7,276840.7015625002
2,242,300142.0,268048.2,276905.80820312514
2,243,300142.0,268072.3,276983.9753906252
2,244,300142.0,268074.5,277072.23203125014
2,245,300142.0,268101.0,277149.55039062514
2,246,300142.0,268103.8,277248.90976562514
2,247,300142.0,268113.4,277306.6332031252
2,248,300142.0,268133.3,277307.46210937516
2,249,300142.0,268139.6,277314.66914062516
2,250,300142.0,268159.4,277398.8230468752
2,251,300142.0,268159.4,277401.1445312502
2,252,300142.0,268160.2,277404.2781250002
2,253,300142.0,268164.7,277477.88671875023
2,254,300142.0,252332.0,277416.04023437516
2,255,300142.0,268169.6,277479.2378906252
2,256,300142.0,268195.0,277480.2957031252
2,257,300142.0,268206.4,277591.3074218752
2,258,300142.0,268208.0,277672.38789062516
2,259,300142.0,268215.6,277677.8832031252
2,260,300142.0,268229.0,277704.5527343752
2,261,300142.0,268296.2,277707.0761718752
2,262,300142.0,268297.6,277762.69648437516
2,263,300142.0,268315.5,277763.36093750014
2,264,300142.0,268325.6,277766.22812500014
2,265,300142.0,254576.0,277712.51875000016
2,266,300142.0,268332.1,277774.4335937502
2,267,300142.0,267123.7,277769.71328125015
2,268,300142.0,264696.0,277760.23007812514
2,269,300142.0,268346.2,277829.83164062514
2,270,300142.0,268326.2,277829.75351562514
2,271,300142.0,267689.5,277827.2664062502
2,272,300142.0,268356.6,277834.68593750015
2,273,300142.0,267238.1,277830.31679687515
2,274,300142.0,265030.4,277821.69296875014
2,275,300142.0,268214.8,277834.13203125016
2,276,300142.0,267184.5,277830.1074218751
2,277,300142.0,268358.0,277932.4335937501
2,278,300142.0,263569.0,277913.7265625001
2,279,300142.0,265184.3,277920.03632812516
2,280,300142.0,268360.0,277994.3281250001
