exec,bestf,worstf,avgf,endstep,duration
1,300498.0,296867.0,300276.0234375,50256,328
2,300497.0,300085.0,300290.47265625,50256,213
3,300499.0,264481.0,300170.85546875,50256,217
4,300500.0,299555.0,299995.9453125,19619,81
5,300497.0,265606.3,300157.751171875,50256,184
6,300500.0,284099.0,292073.76953125,1457,6
7,300499.0,274615.0,300219.7109375,50256,182
8,300499.0,269948.1,300163.601953125,50256,194
9,300499.0,270288.5,300170.904296875,50256,197
10,300500.0,299641.0,300063.99609375,22761,86
11,300500.0,300091.0,300292.7265625,48467,185
12,300500.0,299664.0,300082.54296875,25949,99
13,300500.0,299956.0,300224.80859375,37054,139
14,300500.0,300018.0,300250.75390625,45979,178
15,300497.0,273665.0,300194.78125,50256,186
16,300500.0,298502.0,299501.4140625,9512,37
17,300499.0,269977.4,300207.07578125,50256,190
18,300500.0,299093.0,299799.91796875,14161,55
19,300496.0,266129.6,300162.6,50256,184
20,300499.0,269810.8,300204.565625,50256,177
21,300499.0,294352.0,300282.234375,50256,172
22,300500.0,297551.0,298998.03515625,6930,24
23,300497.0,267973.3,300182.899609375,50256,174
24,300499.0,266898.7,300150.166796875,50256,183
25,300499.0,258245.0,300132.6328125,50256,182
26,300500.0,300071.0,300279.2109375,44117,159
27,300499.0,267531.9,300178.425390625,50256,191
28,300499.0,269338.5,300191.126953125,50256,176
29,300499.0,267969.8,300131.79609375,50256,175
30,300500.0,300004.0,300255.57421875,39107,141
