exec,step,bestf,worstf,avgf
30,0,366089.0,324467.6,334719.3987999997
30,1,366089.0,324503.2,334723.73279999965
30,2,366089.0,324627.1,334728.08459999965
30,3,366089.0,324684.9,334729.57959999965
30,4,366089.0,324806.7,334732.42179999966
30,5,366089.0,324816.2,334734.5806999997
30,6,366089.0,324901.8,334739.1428999997
30,7,366089.0,324917.0,334740.6866999996
30,8,366089.0,325069.1,334742.85079999967
30,9,366089.0,325182.9,334745.9841999997
30,10,366089.0,325426.2,334747.6136999997
30,11,366089.0,325428.0,334751.20139999967
30,12,366089.0,325505.6,334752.2094999997
30,13,366089.0,325577.3,334791.0888999997
30,14,366089.0,325586.1,334793.79569999967
30,15,366089.0,325633.2,334795.6383999997
30,16,366089.0,325633.9,334798.0633999997
30,17,366089.0,325642.6,334800.06509999966
30,18,366089.0,325678.7,334802.2140999997
30,19,366089.0,325710.6,334829.8033999997
30,20,366089.0,325717.3,334831.6109999996
30,21,366089.0,325758.9,334834.8053999996
30,22,366089.0,325765.9,334837.4202999996
30,23,366089.0,325807.2,334840.5882999996
30,24,366089.0,325808.8,334844.0434999996
30,25,366089.0,325832.5,334845.6412999996
30,26,366089.0,325855.0,334846.5257999996
30,27,366089.0,325877.2,334847.5719999996
30,28,366089.0,325793.6,334847.4883999996
30,29,366089.0,325879.8,334849.5078999996
30,30,366089.0,325880.3,334850.1422999996
30,31,366089.0,325891.6,334851.3310999996
30,32,366089.0,325910.0,334853.35139999964
30,33,366089.0,325926.0,334855.1055999996
30,34,366089.0,325926.3,334856.21419999964
30,35,366089.0,325933.4,334857.6057999996
30,36,366089.0,325985.4,334860.4832999996
30,37,366089.0,325997.6,334861.4288999996
30,38,366089.0,326007.7,334863.97219999955
30,39,366089.0,326009.6,334865.9757999996
30,40,366089.0,326018.4,334902.7851999996
30,41,366089.0,326032.2,334926.9587999996
30,42,366089.0,326034.1,334926.99749999965
30,43,366089.0,326036.4,334928.6265999996
30,44,366089.0,326070.9,334929.94069999957
30,45,366089.0,326081.9,334933.03849999956
30,46,366089.0,326094.6,334935.5742999996
30,47,366089.0,326098.9,334937.46869999956
30,48,366089.0,326120.6,334939.7440999996
30,49,366089.0,325612.4,334939.2358999996
