exec,step,bestf,worstf,avgf
24,0,366010.0,324440.7,334745.2943000002
24,1,366010.0,324749.6,334750.0570000002
24,2,366010.0,324767.9,334754.00350000017
24,3,366010.0,324982.5,334756.11370000016
24,4,366010.0,325165.1,334758.96870000014
24,5,366010.0,325209.0,334797.27760000015
24,6,366010.0,325224.8,334830.65160000016
24,7,366010.0,325243.7,334833.4985000001
24,8,366010.0,325367.4,334854.37180000014
24,9,366010.0,325425.5,334855.8475000001
24,10,366010.0,325472.4,334889.8110000001
24,11,366010.0,325482.1,334892.5312000001
24,12,366010.0,325486.2,334920.8551000001
24,13,366010.0,325503.2,334922.9418000001
24,14,366010.0,325520.3,334924.9738000001
24,15,366010.0,325540.6,334928.03020000004
24,16,366010.0,325541.0,334929.9688000001
24,17,366010.0,325542.6,334961.13080000004
24,18,366010.0,325549.7,334964.9783000001
24,19,366010.0,325550.4,334964.97900000005
24,20,366010.0,325574.5,334968.6820000001
24,21,366010.0,325586.2,334971.45920000004
24,22,366010.0,325614.1,334975.2442000001
24,23,366010.0,325615.6,334979.0899000001
24,24,366010.0,325656.9,334981.50390000007
24,25,366010.0,325676.4,335018.1310000001
24,26,366010.0,325677.8,335020.3153000001
24,27,366010.0,325756.4,335023.85200000013
24,28,366010.0,325781.3,335025.6193000001
24,29,366010.0,325800.7,335028.1946000001
24,30,366010.0,325815.3,335030.8840000001
24,31,366010.0,325831.2,335032.71520000004
24,32,366010.0,325860.6,335034.83420000004
24,33,366010.0,325867.0,335037.77830000006
24,34,366010.0,325873.1,335040.88340000005
24,35,366010.0,325896.4,335043.0941000001
24,36,366010.0,325920.1,335079.2567000001
24,37,366010.0,325947.3,335079.9375000001
24,38,366010.0,325948.5,335102.9362000001
24,39,366010.0,325974.4,335104.1747000001
24,40,366010.0,325979.7,335107.17980000016
24,41,366010.0,325986.7,335110.6174000001
24,42,366010.0,325998.6,335149.3217000001
24,43,366010.0,326005.4,335151.0768000001
24,44,366010.0,326018.8,335186.9774000001
24,45,366010.0,325893.9,335186.8525000001
24,46,366010.0,326043.3,335223.35560000007
24,47,366010.0,326058.3,335225.5731000001
24,48,366010.0,326105.4,335228.57270000014
24,49,366010.0,326116.1,335231.68200000015
24,50,366010.0,326131.1,335231.73950000014
24,51,366010.0,326132.2,335234.0616000001
24,52,366010.0,326136.5,335266.6374000001
24,53,366010.0,326168.0,335267.6867000001
24,54,366010.0,326173.6,335270.2391000001
24,55,366010.0,326184.9,335301.3885000001
24,56,366010.0,326189.4,335303.77270000015
24,57,366010.0,326192.6,335306.6890000002
24,58,366010.0,326195.3,335307.6670000002
24,59,366010.0,326196.7,335335.8077000002
24,60,366010.0,326200.2,335336.4511000002
24,61,366010.0,326207.4,335337.86760000023
24,62,366010.0,326219.8,335338.6415000002
24,63,366010.0,326221.3,335340.6301000001
24,64,366010.0,326232.8,335375.72980000015
24,65,366010.0,326246.1,335378.21480000013
24,66,366010.0,326260.1,335380.83990000014
24,67,366010.0,325777.8,335380.35760000016
24,68,366010.0,326261.9,335412.53480000014
24,69,366010.0,326267.2,335444.27290000016
24,70,366010.0,326294.4,335447.2960000002
24,71,366010.0,326306.5,335450.3363000002
24,72,366010.0,326339.2,335487.2108000002
24,73,366010.0,326341.0,335488.1948000002
24,74,366010.0,326342.0,335521.1268000002
24,75,366010.0,326348.4,335521.81450000015
24,76,366010.0,326357.1,335559.5391000002
24,77,366010.0,326368.7,335559.9729000002
24,78,366010.0,326371.1,335560.1908000002
24,79,366010.0,326376.8,335562.80670000025
24,80,366010.0,326411.7,335563.0579000002
24,81,366010.0,326414.9,335565.6276000002
24,82,366010.0,326439.3,335566.9016000002
24,83,366010.0,326467.4,335568.3179000002
24,84,366010.0,326469.0,335570.8658000002
24,85,366010.0,326470.4,335573.3611000002
24,86,366010.0,326473.8,335574.4941000002
24,87,366010.0,326480.3,335576.63620000024
24,88,366010.0,326483.9,335607.7349000002
24,89,366010.0,326507.3,335608.1384000002
24,90,366010.0,326514.6,335643.3301000002
24,91,366010.0,326516.4,335681.84250000026
24,92,366010.0,326516.9,335683.0254000003
24,93,366010.0,326518.6,335684.8666000002
24,94,366010.0,326536.1,335685.8166000002
24,95,366010.0,326537.9,335687.57900000026
24,96,366010.0,326549.9,335689.9994000002
24,97,366010.0,326556.2,335691.1967000002
24,98,366010.0,326557.5,335729.1945000002
24,99,366010.0,326559.4,335731.4727000002
24,100,366010.0,326566.4,335769.71330000024
24,101,366010.0,326567.4,335771.23090000026
24,102,366010.0,326568.4,335773.96630000026
24,103,366010.0,326571.4,335797.3739000003
24,104,366010.0,326586.6,335799.33040000027
24,105,366010.0,326593.2,335801.50430000026
24,106,366010.0,326600.9,335815.3271000003
24,107,366010.0,326607.1,335817.07750000025
24,108,366010.0,326615.8,335854.13640000025
24,109,366010.0,326619.6,335855.4737000002
24,110,366010.0,326628.0,335857.2038000002
24,111,366010.0,326642.9,335859.2947000002
24,112,366010.0,325212.6,335857.8644000002
24,113,366010.0,326644.7,335860.5047000002
24,114,366010.0,326655.5,335862.12800000026
24,115,366010.0,326657.2,335862.9069000003
24,116,366010.0,326668.7,335897.3647000002
24,117,366010.0,326671.3,335898.0206000002
24,118,366010.0,326675.1,335899.6416000002
24,119,366010.0,326683.0,335901.44090000016
24,120,366010.0,326690.4,335903.30910000013
24,121,366010.0,326690.6,335939.5747000002
24,122,366010.0,326692.4,335954.6431000002
24,123,366010.0,326701.4,335989.9727000002
24,124,366010.0,326720.6,336022.3623000002
24,125,366010.0,326720.9,336023.44940000016
24,126,366010.0,326724.5,336053.31350000016
24,127,366010.0,326726.2,336055.21490000014
24,128,366010.0,326726.7,336057.80120000016
24,129,366010.0,326740.5,336090.49250000017
24,130,366010.0,326754.4,336123.6780000002
24,131,366010.0,326761.9,336148.1686000002
24,132,366010.0,326776.9,336149.68100000016
24,133,366010.0,326780.0,336151.0756000002
24,134,366010.0,326790.9,336152.5619000002
24,135,366010.0,326795.5,336184.10500000016
24,136,366010.0,326798.2,336185.20640000014
24,137,366010.0,326799.8,336185.73110000015
24,138,366010.0,326803.1,336188.2734000002
24,139,366010.0,326803.6,336190.66750000016
24,140,366010.0,326811.9,336191.19290000014
24,141,366010.0,326818.4,336216.0860000002
24,142,366010.0,326823.0,336217.8335000002
24,143,366010.0,326825.1,336218.73600000015
24,144,366010.0,326826.7,336248.2689000002
24,145,366010.0,326833.9,336282.84920000023
24,146,366010.0,326834.9,336285.31880000024
24,147,366010.0,326840.0,336286.56080000027
24,148,366010.0,326840.1,336288.36350000015
24,149,366010.0,326843.1,336290.4205000002
24,150,366010.0,326869.9,336292.2141000002
24,151,366010.0,326720.9,336292.0651000002
24,152,366010.0,326878.1,336319.7682000002
24,153,366010.0,326879.5,336320.8425000002
24,154,366010.0,326880.0,336355.1740000002
24,155,366010.0,326887.4,336356.9347000002
24,156,366010.0,326895.4,336384.72530000017
24,157,366010.0,326898.2,336422.03890000016
24,158,366010.0,326913.2,336423.3082000002
24,159,366010.0,326920.4,336456.9310000002
24,160,366010.0,326926.8,336486.7216000002
24,161,366010.0,326927.0,336519.3498000002
24,162,366010.0,326931.6,336520.0151000002
24,163,366010.0,326935.4,336551.9395000002
24,164,366010.0,326966.8,336581.2031000002
24,165,366010.0,326967.1,336583.51820000017
24,166,366010.0,326975.8,336607.4491000002
24,167,366010.0,326981.3,336638.97530000017
24,168,366010.0,326986.0,336640.74560000014
24,169,366010.0,326992.2,336643.1398000002
24,170,366010.0,326993.6,336644.2729000002
24,171,366010.0,327003.1,336670.4523000002
24,172,366010.0,327007.7,336671.2068000002
24,173,366010.0,327015.1,336671.59120000014
24,174,366010.0,327015.4,336673.6354000001
24,175,366010.0,327018.3,336695.16100000014
24,176,366010.0,327029.4,336695.6514000001
24,177,366010.0,326210.9,336694.8329000001
24,178,366010.0,327029.7,336698.0703000001
24,179,366010.0,327031.3,336700.0434000001
24,180,366010.0,327033.7,336734.0541000001
24,181,366010.0,327035.7,336761.54140000016
24,182,366010.0,327035.8,336763.3866000001
24,183,366010.0,327039.3,336799.45380000013
24,184,366010.0,327052.1,336799.8999000001
24,185,366010.0,327054.2,336801.6769000001
24,186,366010.0,327055.7,336802.7585000001
24,187,366010.0,327060.5,336841.7018000001
24,188,366010.0,327065.0,336842.28080000007
24,189,366010.0,327075.5,336879.38980000006
24,190,366010.0,327076.7,336879.9330000001
24,191,366010.0,327079.7,336918.1893000001
24,192,366010.0,327085.0,336920.5072000001
24,193,366010.0,327088.1,336920.7670000001
24,194,366010.0,327092.0,336921.25140000007
24,195,366010.0,327093.8,336921.5995000001
24,196,366010.0,327098.2,336947.8507000001
24,197,366010.0,327101.4,336949.1229000001
24,198,366010.0,327104.4,336950.48410000006
24,199,366010.0,327111.5,336978.30670000013
24,200,366010.0,327113.6,337001.2722000001
24,201,366010.0,327118.7,337002.5982000001
24,202,366010.0,327124.9,337004.19270000013
24,203,366010.0,327128.1,337005.99980000005
24,204,366010.0,327136.1,337008.1623000001
24,205,366010.0,327146.8,337008.8575000001
24,206,366010.0,327148.1,337010.5804000001
