exec,step,bestf,worstf,avgf
28,0,366091.0,324325.8,334391.4276999997
28,1,366091.0,324826.9,334418.9298999997
28,2,366091.0,324896.1,334438.14299999963
28,3,366091.0,324989.7,334471.0028999997
28,4,366091.0,325019.4,334473.9015999997
28,5,366091.0,325077.3,334477.5797999997
28,6,366091.0,325077.9,334478.27659999975
28,7,366091.0,325097.1,334518.8566999998
28,8,366091.0,325136.5,334521.5038999997
28,9,366091.0,325194.3,334522.3422999997
28,10,366091.0,325211.1,334525.30689999973
28,11,366091.0,325286.6,334527.9462999997
28,12,366091.0,325407.6,334531.0074999997
28,13,366091.0,325424.6,334534.33789999975
28,14,366091.0,325448.0,334537.3100999997
28,15,366091.0,325470.3,334541.04619999975
28,16,366091.0,325497.6,334541.92819999973
28,17,366091.0,325506.8,334576.6015999997
28,18,366091.0,325547.5,334613.4537999997
28,19,366091.0,325554.9,334616.0896999998
28,20,366091.0,325556.0,334617.9422999997
28,21,366091.0,325592.8,334642.62929999974
28,22,366091.0,325608.3,334646.07289999974
28,23,366091.0,325633.7,334648.6656999997
28,24,366091.0,325736.3,334650.2069999997
28,25,366091.0,325764.2,334652.6682999997
28,26,366091.0,325767.8,334687.2870999997
28,27,366091.0,325774.1,334690.48229999974
28,28,366091.0,325779.0,334692.67839999974
28,29,366091.0,325812.1,334709.43739999976
28,30,366091.0,325815.1,334711.7928999997
28,31,366091.0,325834.7,334713.0356999998
28,32,366091.0,325835.1,334716.4426999997
28,33,366091.0,325853.7,334719.8997999998
28,34,366091.0,325857.6,334722.2096999998
28,35,366091.0,325877.9,334725.4849999997
28,36,366091.0,325879.6,334726.7688999997
28,37,366091.0,325887.8,334728.7148999997
28,38,366091.0,325889.9,334730.9335999997
28,39,366091.0,325917.4,334734.1462999998
28,40,366091.0,325951.6,334736.18369999976
28,41,366091.0,325974.9,334764.2340999997
28,42,366091.0,325980.4,334765.48279999977
28,43,366091.0,325981.1,334768.6975999998
28,44,366091.0,326032.7,334770.2775999998
28,45,366091.0,326074.8,334771.74129999976
28,46,366091.0,326078.5,334773.18579999974
28,47,366091.0,326085.9,334774.7285999998
28,48,366091.0,326120.5,334776.36379999976
28,49,366091.0,325948.7,334776.19199999975
28,50,366091.0,326120.7,334779.2087999998
28,51,366091.0,326170.8,334779.8689999998
28,52,366091.0,326186.3,334781.97179999977
28,53,366091.0,326206.8,334783.9916999998
28,54,366091.0,326208.3,334817.7208999998
28,55,366091.0,326212.6,334819.56989999977
28,56,366091.0,326215.4,334821.6893999998
28,57,366091.0,326223.9,334822.2658999998
28,58,366091.0,326242.9,334824.78499999974
28,59,366091.0,326244.1,334827.01799999975
28,60,366091.0,326246.2,334857.0608999998
28,61,366091.0,326262.7,334858.37619999977
28,62,366091.0,326262.8,334860.2844999998
28,63,366091.0,326277.2,334861.6743999998
28,64,366091.0,326312.0,334863.4582999998
28,65,366091.0,326324.2,334864.9936999998
28,66,366091.0,326110.0,334864.7794999998
28,67,366091.0,326343.9,334867.4876999998
28,68,366091.0,326349.5,334868.7361999998
28,69,366091.0,325548.7,334867.9353999998
28,70,366091.0,326352.3,334871.6469999998
28,71,366091.0,326354.7,334873.9716999998
28,72,366091.0,326385.5,334875.1026999998
28,73,366091.0,326401.9,334875.6350999998
28,74,366091.0,326406.3,334877.9625999998
28,75,366091.0,326417.0,334908.56829999975
28,76,366091.0,326427.0,334946.27429999976
28,77,366091.0,326445.3,334949.19079999975
28,78,366091.0,326446.1,334950.93519999983
28,79,366091.0,326447.3,334953.3131999998
28,80,366091.0,326124.1,334952.98999999976
28,81,366091.0,326450.9,334954.5874999998
28,82,366091.0,326473.4,334992.3955999997
28,83,366091.0,326474.8,334994.99439999973
28,84,366091.0,326490.4,334997.6647999998
28,85,366091.0,326503.7,334997.8320999997
28,86,366091.0,326531.0,334998.36599999975
28,87,366091.0,326543.0,335037.74699999974
28,88,366091.0,326547.7,335039.47519999975
28,89,366091.0,326549.7,335040.28769999975
