exec,bestf,worstf,avgf,endstep,duration
1,3.7957258E7,3.7375438E7,3.78219103604E7,60000,13091
2,3.7957257E7,3.758883E7,3.78230372881E7,60000,13609
3,3.7957308E7,3.7688998E7,3.78247799724E7,60000,14432
4,3.7957309E7,3.7478034E7,3.78204317573E7,60000,15799
5,3.7957318E7,3.7459312E7,3.78228170071E7,60000,16407
6,3.7957106E7,3.7304861E7,3.78221987778E7,60000,15837
7,3.7957311E7,3.7422778E7,3.78235095201E7,60000,14511
8,3.7957293E7,3.7278459E7,3.78227838538E7,60000,16360
9,3.7957284E7,3.765366E7,3.78245258813E7,60000,16049
10,3.7957201E7,3.7521881E7,3.78227147975E7,60000,15347
11,3.7957306E7,3.770842E7,3.78211630855E7,60000,16421
12,3.795732E7,3.7713798E7,3.78249057115E7,60000,15512
13,3.7957301E7,3.7714752E7,3.78252279506E7,60000,15482
14,3.7957301E7,3.7356404E7,3.7824266337E7,60000,16439
15,3.7957324E7,3.7135624E7,3.7822372005E7,60000,15378
16,3.7957323E7,3.7533963E7,3.78216893183E7,60000,15217
17,3.7957268E7,3.7270465E7,3.78232050292E7,60000,16579
18,3.7957307E7,3.41553701E7,3.782238705991E7,60000,16490
19,3.7957321E7,3.716392E7,3.7823236735E7,60000,15408
20,3.7957278E7,3.7712831E7,3.78229119157E7,60000,16693
21,3.7957317E7,3.7474657E7,3.78243013523E7,60000,15389
22,3.7957318E7,3.7532075E7,3.78227626746E7,60000,15244
23,3.7957279E7,3.7670097E7,3.78226731314E7,60000,16393
24,3.7957288E7,3.737493E7,3.78225193748E7,60000,16325
25,3.7957271E7,3.7710043E7,3.78214195439E7,60000,15286
26,3.7957267E7,3.7710169E7,3.78221082063E7,60000,16933
27,3.7957262E7,3.7430732E7,3.78227527039E7,60000,15968
28,3.7957315E7,3.7440293E7,3.78231538704E7,60000,15254
29,3.7957292E7,3.710209E7,3.78237202488E7,60000,16218
30,3.7957322E7,3.7532858E7,3.78217676523E7,60000,15894
