exec,bestf,worstf,avgf,endstep,duration
1,3.7957306E7,3.7604139E7,3.78627065364E7,60000,14182
2,3.7957322E7,3.7774299E7,3.7862253518E7,60000,16127
3,3.7957292E7,3.41490644E7,3.7863471801740006E7,60000,16696
4,3.7957294E7,3.41551227E7,3.786305076007E7,60000,14534
5,3.7957316E7,3.41578451E7,3.786207068571E7,60000,14151
6,3.7957322E7,3.7774897E7,3.78627097079E7,60000,13898
7,3.7957322E7,3.7407547E7,3.78616103213E7,60000,14421
8,3.7957286E7,3.7771483E7,3.78610858378E7,60000,14018
9,3.7957311E7,3.7684755E7,3.78626075712E7,60000,14368
10,3.7957316E7,3.7338605E7,3.78622694249E7,60000,13730
11,3.7957308E7,3.7491622E7,3.78616748342E7,60000,13864
12,3.7957289E7,3.7621373E7,3.78614789915E7,60000,14058
13,3.7957288E7,3.7771104E7,3.78612863908E7,60000,13703
14,3.7957291E7,3.7772646E7,3.78624770333E7,60000,13750
15,3.7957324E7,3.7612738E7,3.78614418795E7,60000,13558
16,3.7957324E7,3.7776201E7,3.78640800366E7,60000,13434
17,3.7957291E7,3.41598972E7,3.786281551032E7,60000,13526
18,3.7957323E7,3.7475482E7,3.78624319451E7,60000,13507
19,3.7957309E7,3.7508089E7,3.7863802967E7,60000,14090
20,3.7957291E7,3.7218533E7,3.78595256282E7,60000,14871
21,3.7957265E7,3.7680527E7,3.78611395943E7,60000,14996
22,3.7957204E7,3.7774938E7,3.78633643377E7,60000,14942
23,3.7957314E7,3.7777391E7,3.78644937555E7,60000,14290
24,3.7957311E7,3.7608398E7,3.78619898455E7,60000,14200
25,3.7957317E7,3.7182693E7,3.78607547417E7,60000,13777
26,3.7957284E7,3.7450561E7,3.78614066862E7,60000,13841
27,3.7957313E7,3.7518054E7,3.78635806608E7,60000,13884
28,3.7957319E7,3.7406366E7,3.78629080213E7,60000,13944
29,3.7957321E7,3.41289307E7,3.786051185647E7,60000,13736
30,3.7957308E7,3.7641583E7,3.78648241263E7,60000,13968
