exec,bestf,worstf,avgf,endstep,duration
1,3.7957305E7,3.7326906E7,3.78438913544E7,60000,39139
2,3.7957323E7,3.7088499E7,3.78429411627E7,60000,40423
3,3.7957306E7,3.7691018E7,3.78414083521E7,60000,40875
4,3.7957308E7,3.7586998E7,3.78445204887E7,60000,39872
5,3.7957311E7,3.7530494E7,3.7842642346E7,60000,37966
6,3.795731E7,3.7266735E7,3.78430563701E7,60000,37728
7,3.7957226E7,3.4142978E7,3.78431028272E7,60000,39914
8,3.7957303E7,3.7737907E7,3.78427410482E7,60000,38985
9,3.7957324E7,3.7368273E7,3.78440943093E7,60000,38840
10,3.7957295E7,3.41444071E7,3.784272911481E7,60000,39367
11,3.7957317E7,3.7652299E7,3.78433761331E7,60000,42758
12,3.7957325E7,3.7728063E7,3.78372269816E7,56455,37145
13,3.7957312E7,3.41428152E7,3.784188563092E7,60000,41562
14,3.7957241E7,3.7161914E7,3.78410586958E7,60000,39462
15,3.7957306E7,3.7730977E7,3.78439871987E7,60000,39064
16,3.7957324E7,3.7481656E7,3.78444465422E7,60000,38783
17,3.7957297E7,3.7742168E7,3.78448220459E7,60000,38915
18,3.7957307E7,3.7669314E7,3.7843028079E7,60000,41386
19,3.795732E7,3.7740649E7,3.78426820475E7,60000,39471
20,3.7957309E7,3.7221569E7,3.78425814815E7,60000,40783
21,3.7957256E7,3.7737832E7,3.78417741923E7,60000,42013
22,3.7957278E7,3.41230475E7,3.784190580235E7,60000,41507
23,3.7957323E7,3.773818E7,3.78429810576E7,60000,42041
24,3.7957293E7,3.41613059E7,3.7842144861990005E7,60000,40296
25,3.7957318E7,3.7112183E7,3.78435104797E7,60000,40533
26,3.7957253E7,3.7033023E7,3.78432754334E7,60000,41370
27,3.7957291E7,3.7678877E7,3.78424070447E7,60000,40335
28,3.7957224E7,3.7398468E7,3.78439617137E7,60000,40619
29,3.79573E7,3.7737893E7,3.78425977518E7,60000,40891
30,3.7957316E7,3.7451445E7,3.78431637386E7,60000,39797
